set,sample,nutrient,inoculation,time,invasion,replicate,expt_notes,no_analysis,freezer_bag_ID,extraction_date,tube_label,extraction_mass.mg,shoot_mass.g,extraction_notes,planned_qPCR_group
3P,P PAV T1 I 1,P,PAV,1,I,1,NA,NA,Ex 2 S3P T1,4/12/16,S3P PP1I1,48.6,0.2764,NA,1
3P,L PAV T1 S 1,L,PAV,1,S,1,NA,NA,Ex 2 S3P T1,4/12/16,S3P LP1S1,49,0.2403,NA,1
3P,L PAV T1 S 2,L,PAV,1,S,2,NA,NA,Ex 2 S3P T1,4/12/16,S3P LP1S2,49.2,0.2423,NA,1
3P,L PAV T1 I 1,L,PAV,1,I,1,NA,NA,Ex 2 S3P T1,4/12/16,S3P LP1I1,49.3,0.2452,NA,1
3P,N PAV T1 I 1,N,PAV,1,I,1,NA,NA,Ex 2 S3P T1,4/12/16,S3P NP1I1,50.3,0.3262,NA,1
3P,N PAV T1 S 1,N,PAV,1,S,1,NA,NA,Ex 2 S3P T1,4/12/16,S3P NP1S1,50.9,0.3628,NA,1
3P,P PAV T1 S 1,P,PAV,1,S,1,NA,NA,Ex 2 S3P T1,4/12/16,S3P PP1S1,51.5,0.261,NA,1
3P,NP PAV T1 I 1,NP,PAV,1,I,1,NA,NA,Ex 2 S3P T1,4/12/16,S3P NPP1I1,51.6,0.19,NA,1
3P,NP PAV T1 S 1,NP,PAV,1,S,1,NA,NA,Ex 2 S3P T1,4/12/16,S3P NPP1S1,52,0.2521,NA,1
3P,P PAV T2 S 2,P,PAV,2,S,2,NA,NA,Ex 2 S3P T2,4/12/16,S3P PP2S2,48.2,0.325,NA,2
3P,P PAV T2 S 1,P,PAV,2,S,1,NA,NA,Ex 2 S3P T2,4/12/16,S3P PP2S1,48.5,0.2266,NA,2
3P,L PAV T2 I 1,L,PAV,2,I,1,NA,NA,Ex 2 S3P T2,4/12/16,S3P LP2I1,49.1,0.1315,NA,2
3P,NP PAV T2 S 1,NP,PAV,2,S,1,NA,NA,Ex 2 S3P T2,4/12/16,S3P NPP2S1,49.2,0.41,NA,2
3P,L PAV T2 S 1,L,PAV,2,S,1,NA,NA,Ex 2 S3P T2,4/12/16,S3P LP2S1,49.5,0.246,NA,2
3P,NP PAV T2 I 1,NP,PAV,2,I,1,NA,NA,Ex 2 S3P T2,4/12/16,S3P NPP2I1,49.7,0.4181,NA,2
3P,N PAV T2 I 1,N,PAV,2,I,1,NA,NA,Ex 2 S3P T2,4/12/16,S3P NP2I1,50.1,0.15310000000000001,NA,2
3P,P PAV T2 I 1,P,PAV,2,I,1,NA,NA,Ex 2 S3P T2,4/12/16,S3P PP2I1,50.1,0.2246,NA,2
3P,N PAV T2 S 1,N,PAV,2,S,1,NA,NA,Ex 2 S3P T2,4/12/16,S3P NP2S1,51,0.3037,NA,2
3P,N PAV T3 S 1,N,PAV,3,S,1,NA,NA,Ex 2 S3P T3,4/14/16,S3P NP3S1,48.2,0.2924,NA,2
3P,N PAV T3 I 2,N,PAV,3,I,2,NA,NA,Ex 2 S3P T3,4/14/16,S3P NP3I2,49.3,0.298,NA,2
3P,P PAV T3 I 2,P,PAV,3,I,2,NA,NA,Ex 2 S3P T3,4/14/16,S3P PP3I2,49.5,0.2588,NA,2
3P,L PAV T3 S 1,L,PAV,3,S,1,NA,NA,Ex 2 S3P T3,4/14/16,S3P LP3S1,49.9,0.2592,NA,2
3P,N PAV T3 I 1,N,PAV,3,I,1,NA,NA,Ex 2 S3P T3,4/14/16,S3P NP3I1,50.1,0.3686,NA,2
3P,P PAV T3 I 1,P,PAV,3,I,1,NA,NA,Ex 2 S3P T3,4/14/16,S3P PP3I1,50.8,0.2572,NA,2
3P,P PAV T3 S 1,P,PAV,3,S,1,NA,NA,Ex 2 S3P T3,4/14/16,S3P PP3S1,51,0.1961,NA,2
3P,L PAV T3 I 1,L,PAV,3,I,1,NA,NA,Ex 2 S3P T3,4/14/16,S3P LP3I1,51.9,0.2514,NA,2
3P,NP PAV T3 I 1,NP,PAV,3,I,1,NA,NA,Ex 2 S3P T3,4/14/16,S3P NPP3I1,52.5,0.3575,NA,2
3P,L PAV T4 S 1,L,PAV,4,S,1,NA,NA,Ex 2 S3P T4,4/14/16,S3P LP4S1,48.5,0.2502,NA,2
3P,NP PAV T4 S 3,NP,PAV,4,S,3,NA,NA,Ex 2 S3P T4,4/14/16,S3P NPP4S3,49,0.3823,NA,2
3P,L PAV T4 I 1,L,PAV,4,I,1,NA,NA,Ex 2 S3P T4,4/14/16,S3P LP4I1,49.3,0.2491,small pellet,2
3P,P PAV T4 I 1,P,PAV,4,I,1,NA,NA,Ex 2 S3P T4,4/14/16,S3P PP4I1,49.3,0.2513,NA,3
3P,N PAV T4 I 1,N,PAV,4,I,1,NA,NA,Ex 2 S3P T4,4/14/16,S3P NP4I1,49.7,0.3877,NA,3
3P,N PAV T4 S 1,N,PAV,4,S,1,NA,NA,Ex 2 S3P T4,4/14/16,S3P NP4S1,50.9,0.4193,NA,3
3P,NP PAV T4 S 1,NP,PAV,4,S,1,NA,NA,Ex 2 S3P T4,4/14/16,S3P NPP4S1,51.1,0.3654,NA,3
