"Variable","Estimate","Std.error","Z","P"
"(Intercept)",0.23111500200553,0.0141149078603297,16.3738229319289,2.94143001192976e-60
"highN",0.0632304519754155,0.0195025476528117,3.24216369579282,0.00118625863550067
"highP",0.0149724978174582,0.0191116753747188,0.783421522388559,0.433379621599251
"first_inoculationRPV",0.0244627742780949,0.0205084854834942,1.19281232628237,0.23294288154588
"highN:highP",0.0170653814846461,0.0266908299072516,0.639372456530833,0.522580662700044
"highN:first_inoculationRPV",-0.00344940461263693,0.0289154921327899,-0.119292612997768,0.905043535683748
"highP:first_inoculationRPV",-0.0324602739001323,0.0280330895559649,-1.15792709309935,0.246893790074296
"highN:highP:first_inoculationRPV",0.0369929829378058,0.0400221976607221,0.924311634543517,0.355324086975314
"Groups","Name","Std.Dev."
"set","(Intercept)","1.4840e-07"
"time","(Intercept)","4.9225e-06"
"Residual","","6.3124e-02"
"N"
162
