plant_days,res_days,inv_days,variable2,nutrient,first,last,growth
1,1,1,PAV_conc,low,0,0,NA
1,1,1,PAV_conc,+N,0,0,NA
1,1,1,PAV_conc,+P,0,0,NA
1,1,1,PAV_conc,+N+P,0,0,NA
1,1,1,RPV_conc,low,500000,501318.3918705015,0.26069803902990313
1,1,1,RPV_conc,+N,500000,501318.8202541665,0.26078263589569006
1,1,1,RPV_conc,+P,500000,501318.3918705015,0.26069803902990313
1,1,1,RPV_conc,+N+P,500000,501318.8202541665,0.26078263589569006
2,1,1,PAV_conc,low,0,0,NA
2,1,1,PAV_conc,+N,0,0,NA
2,1,1,PAV_conc,+P,0,0,NA
2,1,1,PAV_conc,+N+P,0,0,NA
2,1,1,RPV_conc,low,500000,501377.1142221457,0.2722938082022942
2,1,1,RPV_conc,+N,500000,501378.1998773001,0.2725081772687626
2,1,1,RPV_conc,+P,500000,501377.1142221457,0.2722938082022942
2,1,1,RPV_conc,+N+P,500000,501378.1998773001,0.2725081772687626
3,1,1,PAV_conc,low,0,0,NA
3,1,1,PAV_conc,+N,0,0,NA
3,1,1,PAV_conc,+P,0,0,NA
3,1,1,PAV_conc,+N+P,0,0,NA
3,1,1,RPV_conc,low,500000,501412.89847497636,0.2793593772384539
3,1,1,RPV_conc,+N,500000,501414.6498281212,0.27970516742268414
3,1,1,RPV_conc,+P,500000,501412.89847497636,0.2793593772384539
3,1,1,RPV_conc,+N+P,500000,501414.6498281212,0.27970516742268414
4,1,1,PAV_conc,low,0,0,NA
4,1,1,PAV_conc,+N,0,0,NA
4,1,1,PAV_conc,+P,0,0,NA
4,1,1,PAV_conc,+N+P,0,0,NA
4,1,1,RPV_conc,low,500000,501436.7014366163,0.2840589716801314
4,1,1,RPV_conc,+N,500000,501439.127676509,0.2845379896051846
4,1,1,RPV_conc,+P,500000,501436.7014366163,0.2840589716801314
4,1,1,RPV_conc,+N+P,500000,501439.127676509,0.2845379896051846
5,1,1,PAV_conc,low,0,0,NA
5,1,1,PAV_conc,+N,0,0,NA
5,1,1,PAV_conc,+P,0,0,NA
5,1,1,PAV_conc,+N+P,0,0,NA
5,1,1,RPV_conc,low,500000,501453.42094318976,0.28735989391276223
5,1,1,RPV_conc,+N,500000,501456.5682982206,0.28798126203431773
5,1,1,RPV_conc,+P,500000,501453.42094318976,0.28735989391276223
5,1,1,RPV_conc,+N+P,500000,501456.5682982206,0.28798126203431773
6,1,1,PAV_conc,low,0,0,NA
6,1,1,PAV_conc,+N,0,0,NA
