"Variable","Estimate","Std.error","Z","P"
"(Intercept)",5.84778238722675,0.31892853809472,18.3357137688631,4.29343688613511e-75
"highN",0.124623529000341,0.356236974571782,0.349833223095793,0.726463864148035
"highP",-0.135642737699367,0.350382864833804,-0.38712720087983,0.698662041207169
"roleuninvaded",-0.611684083345796,0.350056408283453,-1.74738718923978,0.0805701981431649
"dpiUR",-0.0604298269609276,0.029224299904216,-2.06779382770466,0.0386594143498431
"highN:highP",0.00701935225601687,0.483882337486671,0.014506320467236,0.988426036791167
"highN:roleuninvaded",0.394160518034146,0.483576661807392,0.815094170510526,0.415018408229955
"highP:roleuninvaded",0.38713147499379,0.472218242291061,0.819814738870621,0.412321727508805
"highN:dpiUR",0.0152875718938035,0.0394827915656763,0.387195820953386,0.698611243727589
"highP:dpiUR",0.0231304945160025,0.0392578645744545,0.589193904628571,0.555731205598534
"roleuninvaded:dpiUR",0.0337264911509594,0.0386888539977959,0.871736628665218,0.383352073043219
"highN:highP:roleuninvaded",-0.685756623273962,0.676887779577206,-1.01310238412384,0.311011259630642
"highN:highP:dpiUR",-0.000963209195040082,0.0545444355326041,-0.0176591651491988,0.985910757053868
"highN:roleuninvaded:dpiUR",0.0179022575148174,0.0540914262756168,0.330962940847565,0.740672478416335
"highP:roleuninvaded:dpiUR",5.06457265815771e-05,0.0536850996745476,0.000943385164386469,0.999247287654095
"highN:highP:roleuninvaded:dpiUR",0.0405926478988413,0.0762758038471326,0.53218249892449,0.594599602974661
"Groups","Name","Std.Dev."
"set","(Intercept)","0.29777"
"Residual","","0.65977"
"N"
184
