"Variable","Estimate","Std.error","Z","P"
"(Intercept)",13.5162372793115,0.361261051748504,37.4140450898123,2.30966578050753e-306
"highN",0.116462248791503,0.41317738383685,0.281869853838588,0.778043305805214
"highP",-0.21339799223389,0.407325195711344,-0.523900791015927,0.600347544604335
"roleuninvaded",-0.142991146643361,0.38881554169583,-0.367760882241747,0.713051539405873
"dpiUR",0.176827337240315,0.113646089707814,1.55594739506605,0.119720601906784
"I(dpiUR^2)",-0.0124239399285084,0.00787573654440414,-1.57749562322978,0.114681528393563
"highN:highP",0.135575058588626,0.583080396427506,0.232515206169313,0.816137878002091
"highN:roleuninvaded",-0.21725241306664,0.555055755736443,-0.39140646830766,0.695496811915707
"highP:roleuninvaded",0.20208641428356,0.55124994049421,0.366596709475168,0.713919863049605
"highN:dpiUR",0.225062689382229,0.165357345073604,1.36106859530219,0.173492013023796
"highN:I(dpiUR^2)",-0.0187279443170128,0.0115705250174456,-1.61859071120588,0.105535355003644
"highP:dpiUR",0.0562836909153304,0.155461894902505,0.362041714148843,0.717320858465688
"highP:I(dpiUR^2)",-0.0050609186496974,0.0106718579526242,-0.474230323544825,0.635335671771803
"roleuninvaded:dpiUR",0.0310739214889524,0.156101431018545,0.19906237429214,0.842213953140523
"roleuninvaded:I(dpiUR^2)",-0.00223577166659434,0.0109377267424275,-0.20440917196457,0.838033763310563
"highN:highP:roleuninvaded",-0.0231990894953393,0.784435070624978,-0.0295742635229911,0.97640659106633
"highN:highP:dpiUR",-0.23131920852535,0.227143989470008,-1.01838137590646,0.308496749438387
"highN:highP:I(dpiUR^2)",0.0218291205374077,0.0157795030298673,1.38338453981027,0.166546988440042
"highN:roleuninvaded:dpiUR",0.108925364194923,0.227086850271908,0.479663899800886,0.631466401414055
"highN:roleuninvaded:I(dpiUR^2)",-0.00556555843340267,0.0159210179492753,-0.349573026745819,0.726659156767283
"highP:roleuninvaded:dpiUR",-0.0740276960544525,0.231502616752602,-0.31977045051531,0.749142349467026
"highP:roleuninvaded:I(dpiUR^2)",0.00709791047336455,0.0162429826653456,0.436983195734608,0.662123534925895
"highN:highP:roleuninvaded:dpiUR",-0.0399998436999401,0.321857339603145,-0.124278177869923,0.901095024875908
"highN:highP:roleuninvaded:I(dpiUR^2)",-0.00149342682811674,0.0225209384204261,-0.0663128152227542,0.947128780610882
"Groups","Name","Std.Dev."
"set","(Intercept)","0.36830"
"Residual","","0.62064"
"N"
147
