plant_days,res_days,inv_days,variable2,nutrient,first,last,growth
1,1,1,RPV_conc,low,0,0,NA
1,1,1,RPV_conc,+N,0,0,NA
1,1,1,RPV_conc,+P,0,0,NA
1,1,1,RPV_conc,+N+P,0,0,NA
1,1,1,PAV_conc,low,500000,500679.736886606,0.13449650201474525
1,1,1,PAV_conc,+N,500000,500680.66740415257,0.1346804941852282
1,1,1,PAV_conc,+P,500000,500679.736886606,0.13449650201474525
1,1,1,PAV_conc,+N+P,500000,500680.66740415257,0.1346804941852282
2,1,1,RPV_conc,low,0,0,NA
2,1,1,RPV_conc,+N,0,0,NA
2,1,1,RPV_conc,+P,0,0,NA
2,1,1,RPV_conc,+N+P,0,0,NA
2,1,1,PAV_conc,low,500000,500807.3007036129,0.15971663463346553
2,1,1,PAV_conc,+N,500000,500809.65925240994,0.16018287340585613
2,1,1,PAV_conc,+P,500000,500807.3007036129,0.15971663463346553
2,1,1,PAV_conc,+N+P,500000,500809.65925240994,0.16018287340585613
3,1,1,RPV_conc,low,0,0,NA
3,1,1,RPV_conc,+N,0,0,NA
3,1,1,RPV_conc,+P,0,0,NA
3,1,1,RPV_conc,+N+P,0,0,NA
3,1,1,PAV_conc,low,500000,500885.0441631628,0.17508383305589015
3,1,1,PAV_conc,+N,500000,500888.8492428061,0.17583590473027524
3,1,1,PAV_conc,+P,500000,500885.0441631628,0.17508383305589015
3,1,1,PAV_conc,+N+P,500000,500888.8492428061,0.17583590473027524
4,1,1,RPV_conc,low,0,0,NA
4,1,1,RPV_conc,+N,0,0,NA
4,1,1,RPV_conc,+P,0,0,NA
4,1,1,RPV_conc,+N+P,0,0,NA
4,1,1,PAV_conc,low,500000,500936.76113596925,0.1853051723904977
4,1,1,PAV_conc,+N,500000,500942.0328087674,0.18634700621344688
4,1,1,PAV_conc,+P,500000,500936.76113596925,0.1853051723904977
4,1,1,PAV_conc,+N+P,500000,500942.0328087674,0.18634700621344688
5,1,1,RPV_conc,low,0,0,NA
5,1,1,RPV_conc,+N,0,0,NA
5,1,1,RPV_conc,+P,0,0,NA
5,1,1,RPV_conc,+N+P,0,0,NA
5,1,1,PAV_conc,low,500000,500973.0895217247,0.19248448136525217
5,1,1,PAV_conc,+N,500000,500979.92828980647,0.19383591806550665
5,1,1,PAV_conc,+P,500000,500973.0895217247,0.19248448136525217
5,1,1,PAV_conc,+N+P,500000,500979.92828980647,0.19383591806550665
6,1,1,RPV_conc,low,0,0,NA
6,1,1,RPV_conc,+N,0,0,NA
6,1,1,RPV_conc,+P,0,0,NA
6,1,1,RPV_conc,+N+P,0,0,NA
6,1,1,PAV_conc,low,500000,500999.4509073865,0.19769376021435842
6,1,1,PAV_conc,+N,500000,501008.0735485128,0.19939762261198166
6,1,1,PAV_conc,+P,500000,500999.4509073865,0.19769376021435842
6,1,1,PAV_conc,+N+P,500000,501008.0735485128,0.19939762261198166
7,1,1,RPV_conc,low,0,0,NA
7,1,1,RPV_conc,+N,0,0,NA
7,1,1,RPV_conc,+P,0,0,NA
7,1,1,RPV_conc,+N+P,0,0,NA
7,1,1,PAV_conc,low,500000,501018.8211487198,0.20152134289565143
7,1,1,PAV_conc,+N,500000,501029.6163405664,0.2036544214033894
7,1,1,PAV_conc,+P,500000,501018.8211487198,0.20152134289565143
7,1,1,PAV_conc,+N+P,500000,501029.6163405664,0.2036544214033894
8,1,1,RPV_conc,low,0,0,NA
8,1,1,RPV_conc,+N,0,0,NA
8,1,1,RPV_conc,+P,0,0,NA
8,1,1,RPV_conc,+N+P,0,0,NA
8,1,1,PAV_conc,low,500000,501032.83059159765,0.20428953322314988
8,1,1,PAV_conc,+N,500000,501046.47509271244,0.20698553862470093
8,1,1,PAV_conc,+P,500000,501032.83059159765,0.20428953322314988
8,1,1,PAV_conc,+N+P,500000,501046.47509271244,0.20698553862470093
9,1,1,RPV_conc,low,0,0,NA
9,1,1,RPV_conc,+N,0,0,NA
9,1,1,RPV_conc,+P,0,0,NA
9,1,1,RPV_conc,+N+P,0,0,NA
9,1,1,PAV_conc,low,500000,501042.1578477252,0.20613250578969186
9,1,1,PAV_conc,+N,500000,501059.8817507559,0.2096344773073286
9,1,1,PAV_conc,+P,500000,501042.1578477252,0.20613250578969186
9,1,1,PAV_conc,+N+P,500000,501059.8817507559,0.2096344773073286
10,1,1,RPV_conc,low,0,0,NA
10,1,1,RPV_conc,+N,0,0,NA
10,1,1,RPV_conc,+P,0,0,NA
10,1,1,RPV_conc,+N+P,0,0,NA
10,1,1,PAV_conc,low,500000,501046.3930373592,0.2069693255964796
10,1,1,PAV_conc,+N,500000,501070.65791759297,0.21176362211368494
10,1,1,PAV_conc,+P,500000,501046.3930373592,0.2069693255964796
10,1,1,PAV_conc,+N+P,500000,501070.65791759297,0.21176362211368494
11,1,1,RPV_conc,low,0,0,NA
11,1,1,RPV_conc,+N,0,0,NA
11,1,1,RPV_conc,+P,0,0,NA
11,1,1,RPV_conc,+N+P,0,0,NA
11,1,1,PAV_conc,low,500000,501042.9325255882,0.20628557284791021
11,1,1,PAV_conc,+N,500000,501079.36388958746,0.2134837063500285
11,1,1,PAV_conc,+P,500000,501042.9325255882,0.20628557284791021
11,1,1,PAV_conc,+N+P,500000,501079.36388958746,0.2134837063500285
12,1,1,RPV_conc,low,0,0,NA
12,1,1,RPV_conc,+N,0,0,NA
12,1,1,RPV_conc,+P,0,0,NA
12,1,1,RPV_conc,+N+P,0,0,NA
12,1,1,PAV_conc,low,500000,501024.79451663524,0.20270165763325132
12,1,1,PAV_conc,+N,500000,501086.3816560953,0.21487022128006178
12,1,1,PAV_conc,+P,500000,501024.79451663524,0.20270165763325132
12,1,1,PAV_conc,+N+P,500000,501086.3816560953,0.21487022128006178
13,1,1,RPV_conc,low,0,0,NA
13,1,1,RPV_conc,+N,0,0,NA
13,1,1,RPV_conc,+P,0,0,NA
13,1,1,RPV_conc,+N+P,0,0,NA
13,1,1,PAV_conc,low,500000,500988.4722803339,0.19552430476864763
13,1,1,PAV_conc,+N,500000,501091.9568543646,0.21597171111965205
13,1,1,PAV_conc,+P,500000,500988.4722803339,0.19552430476864763
13,1,1,PAV_conc,+N+P,500000,501091.9568543646,0.21597171111965205
14,1,1,RPV_conc,low,0,0,NA
14,1,1,RPV_conc,+N,0,0,NA
14,1,1,RPV_conc,+P,0,0,NA
14,1,1,RPV_conc,+N+P,0,0,NA
14,1,1,PAV_conc,low,500000,500942.4314159397,0.18642578198345788
14,1,1,PAV_conc,+N,500000,501096.2087713483,0.21681175253268983
14,1,1,PAV_conc,+P,500000,500942.4314159397,0.18642578198345788
14,1,1,PAV_conc,+N+P,500000,501096.2087713483,0.21681175253268983
15,1,1,RPV_conc,low,0,0,NA
15,1,1,RPV_conc,+N,0,0,NA
15,1,1,RPV_conc,+P,0,0,NA
15,1,1,RPV_conc,+N+P,0,0,NA
15,1,1,PAV_conc,low,500000,500890.6348073192,0.17618881849944526
15,1,1,PAV_conc,+N,500000,501099.09348563344,0.21738167480948298
15,1,1,PAV_conc,+P,500000,500890.6348073192,0.17618881849944526
15,1,1,PAV_conc,+N+P,500000,501099.09348563344,0.21738167480948298
16,1,1,RPV_conc,low,0,0,NA
16,1,1,RPV_conc,+N,0,0,NA
16,1,1,RPV_conc,+P,0,0,NA
16,1,1,RPV_conc,+N+P,0,0,NA
16,1,1,PAV_conc,low,500000,500833.2569261938,0.1648475491446651
16,1,1,PAV_conc,+N,500000,501100.2500865479,0.21761017923082124
16,1,1,PAV_conc,+P,500000,500833.2569261938,0.1648475491446651
16,1,1,PAV_conc,+N+P,500000,501100.2500865479,0.21761017923082124
17,1,1,RPV_conc,low,0,0,NA
17,1,1,RPV_conc,+N,0,0,NA
17,1,1,RPV_conc,+P,0,0,NA
17,1,1,RPV_conc,+N+P,0,0,NA
17,1,1,PAV_conc,low,500000,500769.97299808596,0.1523373880273227
17,1,1,PAV_conc,+N,500000,501068.77542534604,0.21139168438476238
17,1,1,PAV_conc,+P,500000,500769.97299808596,0.1523373880273227
17,1,1,PAV_conc,+N+P,500000,501098.42884697387,0.21725036491132513
18,1,1,RPV_conc,low,0,0,NA
18,1,1,RPV_conc,+N,0,0,NA
18,1,1,RPV_conc,+P,0,0,NA
18,1,1,RPV_conc,+N+P,0,0,NA
18,1,1,PAV_conc,low,500000,500700.31694386195,0.1385657375878472
18,1,1,PAV_conc,+N,500000,501031.1929134745,0.2039659408570232
18,1,1,PAV_conc,+P,500000,500700.31694386195,0.1385657375878472
18,1,1,PAV_conc,+N+P,500000,501089.53439301084,0.21549310784047615
19,1,1,RPV_conc,low,0,0,NA
19,1,1,RPV_conc,+N,0,0,NA
19,1,1,RPV_conc,+P,0,0,NA
19,1,1,RPV_conc,+N+P,0,0,NA
19,1,1,PAV_conc,low,500000,500624.06902320875,0.12348861719600647
19,1,1,PAV_conc,+N,500000,500989.2737312732,0.19568267883095514
19,1,1,PAV_conc,+P,500000,500624.06902320875,0.12348861719600647
19,1,1,PAV_conc,+N+P,500000,501068.759175577,0.21138847379325582
20,1,1,RPV_conc,low,0,0,NA
20,1,1,RPV_conc,+N,0,0,NA
20,1,1,RPV_conc,+P,0,0,NA
20,1,1,RPV_conc,+N+P,0,0,NA
20,1,1,PAV_conc,low,500000,500540.96032190614,0.10705224315835896
20,1,1,PAV_conc,+N,500000,500942.5943633292,0.18645798486331433
20,1,1,PAV_conc,+P,500000,500540.96032190614,0.10705224315835896
20,1,1,PAV_conc,+N+P,500000,501042.0558383345,0.2061123499394298
21,1,1,RPV_conc,low,0,0,NA
21,1,1,RPV_conc,+N,0,0,NA
21,1,1,RPV_conc,+P,0,0,NA
21,1,1,RPV_conc,+N+P,0,0,NA
21,1,1,PAV_conc,low,500000,500450.6885273387,0.08919613477488124
21,1,1,PAV_conc,+N,500000,500890.7836224503,0.1762182314985457
21,1,1,PAV_conc,+P,500000,500450.6885273387,0.08919613477488124
21,1,1,PAV_conc,+N+P,500000,501012.5288276157,0.2002779890039315
22,1,1,RPV_conc,low,0,0,NA
22,1,1,RPV_conc,+N,0,0,NA
22,1,1,RPV_conc,+P,0,0,NA
22,1,1,RPV_conc,+N+P,0,0,NA
22,1,1,PAV_conc,low,500000,500353.2514440487,0.0699190898095015
22,1,1,PAV_conc,+N,500000,500833.4679951114,0.16488927125109062
22,1,1,PAV_conc,+P,500000,500353.2514440487,0.0699190898095015
22,1,1,PAV_conc,+N+P,500000,500980.155741887,0.19388086547676525
23,1,1,RPV_conc,low,0,0,NA
23,1,1,RPV_conc,+N,0,0,NA
23,1,1,RPV_conc,+P,0,0,NA
23,1,1,RPV_conc,+N+P,0,0,NA
23,1,1,PAV_conc,low,500000,500248.5954803712,0.049209672824716104
23,1,1,PAV_conc,+N,500000,500770.19238070433,0.1523807589872939
23,1,1,PAV_conc,+P,500000,500248.5954803712,0.049209672824716104
23,1,1,PAV_conc,+N+P,500000,500944.7627432608,0.1868865152998092
24,1,1,RPV_conc,low,0,0,NA
24,1,1,RPV_conc,+N,0,0,NA
24,1,1,RPV_conc,+P,0,0,NA
24,1,1,RPV_conc,+N+P,0,0,NA
24,1,1,PAV_conc,low,500000,500136.76417529525,0.02707560390461621
