param_foc1,param_val1,param_foc2,param_val2,time,variable,value,nutrient,variable2,value2,abund_type
z_nb,1.6e-18,z_pb,2.6e-19,60,R_n_low,6.696041493273148e-8,low,R_n,6.696041493273148e-8,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,R_p_low,1.2340879992868154e-8,low,R_p,1.2340879992868154e-8,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,Q_n_low,0.0011263467399661826,low,Q_n,0.0011263467399661826,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,Q_p_low,2.6544740240923406e-4,low,Q_p,2.6544740240923406e-4,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,H_low,0.2779974944766958,low,H,0.2779974944766958,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,V_b_low,17.363338841774173,low,PAV_conc,1.2639516479287598,con
z_nb,1.6e-18,z_pb,2.6e-19,60,V_c_low,0,low,RPV_conc,0,con
z_nb,1.6e-18,z_pb,2.6e-19,60,R_n_n,9.88256171382224e-7,+N,R_n,9.88256171382224e-7,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,R_p_n,3.5105898013392976e-09,+N,R_p,3.5105898013392976e-09,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,Q_n_n,0.002577758551880264,+N,Q_n,0.002577758551880264,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,Q_p_n,7.56834518407307e-5,+N,Q_p,7.56834518407307e-5,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,H_n,0.9768080235064044,+N,H,0.9768080235064044,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,V_b_n,2526.4958728584957,+N,PAV_conc,3.4026904551052763,con
z_nb,1.6e-18,z_pb,2.6e-19,60,V_c_n,0,+N,RPV_conc,0,con
z_nb,1.6e-18,z_pb,2.6e-19,60,R_n_p,6.696041493273148e-8,+P,R_n,6.696041493273148e-8,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,R_p_p,6.458260064974455e-7,+P,R_p,6.458260064974455e-7,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,Q_n_p,0.0011263467399661826,+P,Q_n,0.0011263467399661826,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,Q_p_p,0.0016506964303139929,+P,Q_p,0.0016506964303139929,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,H_p,0.2779974944766958,+P,H,0.2779974944766958,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,V_b_p,17.363338841774173,+P,PAV_conc,1.2639516479287598,con
z_nb,1.6e-18,z_pb,2.6e-19,60,V_c_p,0,+P,RPV_conc,0,con
z_nb,1.6e-18,z_pb,2.6e-19,60,R_n_np,4.785049343316488e-7,+N+P,R_n,4.785049343316488e-7,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,R_p_np,8.826453135108949e-8,+N+P,R_p,8.826453135108949e-8,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,Q_n_np,0.0013135440528338623,+N+P,Q_n,0.0013135440528338623,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,Q_p_np,2.4500926726004957e-4,+N+P,Q_p,2.4500926726004957e-4,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,H_np,1.997178488504931,+N+P,H,1.997178488504931,NA
z_nb,1.6e-18,z_pb,2.6e-19,60,V_b_np,43577.34182872961,+N+P,PAV_conc,4.639270701166471,con
z_nb,1.6e-18,z_pb,2.6e-19,60,V_c_np,0,+N+P,RPV_conc,0,con
z_nb,1.6e-18,z_pb,2.6e-19,60,VbH_low,4.826964693763113,low,PAV_pop,0.7654423866588287,pop
z_nb,1.6e-18,z_pb,2.6e-19,60,VbH_n,2467.901439963995,+N,PAV_pop,3.3925037529800717,pop
z_nb,1.6e-18,z_pb,2.6e-19,60,VbH_p,4.826964693763113,+P,PAV_pop,0.7654423866588287,pop
z_nb,1.6e-18,z_pb,2.6e-19,60,VbH_np,87031.72968656491,+N+P,PAV_pop,4.9396826049083025,pop
z_nb,1.6e-18,z_pb,2.6e-19,60,VcH_low,0,low,RPV_pop,0,pop
z_nb,1.6e-18,z_pb,2.6e-19,60,VcH_n,0,+N,RPV_pop,0,pop
z_nb,1.6e-18,z_pb,2.6e-19,60,VcH_p,0,+P,RPV_pop,0,pop
z_nb,1.6e-18,z_pb,2.6e-19,60,VcH_np,0,+N+P,RPV_pop,0,pop
z_nb,6.153846153846154e-18,z_pb,1e-18,60,R_n_low,6.696041561749845e-8,low,R_n,6.696041561749845e-8,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,R_p_low,1.2340880118962627e-8,low,R_p,1.2340880118962627e-8,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,Q_n_low,0.001126346740168828,low,Q_n,0.001126346740168828,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,Q_p_low,2.6544740327078095e-4,low,Q_p,2.6544740327078095e-4,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,H_low,0.27799749163862997,low,H,0.27799749163862997,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,V_b_low,17.36333813484267,low,PAV_conc,1.263951631209771,con
z_nb,6.153846153846154e-18,z_pb,1e-18,60,V_c_low,0,low,RPV_conc,0,con
z_nb,6.153846153846154e-18,z_pb,1e-18,60,R_n_n,9.882562995141512e-7,+N,R_n,9.882562995141512e-7,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,R_p_n,3.510590247558346e-9,+N,R_p,3.510590247558346e-9,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,Q_n_n,0.002577758797961723,+N,Q_n,0.002577758797961723,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,Q_p_n,7.568345175627265e-5,+N,Q_p,7.568345175627265e-5,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,H_n,0.9768078993655902,+N,H,0.9768078993655902,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,V_b_n,2526.4945942961695,+N,PAV_conc,3.4026902354124533,con
z_nb,6.153846153846154e-18,z_pb,1e-18,60,V_c_n,0,+N,RPV_conc,0,con
z_nb,6.153846153846154e-18,z_pb,1e-18,60,R_n_p,6.696041561749845e-8,+P,R_n,6.696041561749845e-8,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,R_p_p,6.458260132357284e-7,+P,R_p,6.458260132357284e-7,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,Q_n_p,0.001126346740168828,+P,Q_n,0.001126346740168828,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,Q_p_p,0.001650696444276497,+P,Q_p,0.001650696444276497,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,H_p,0.27799749163862997,+P,H,0.27799749163862997,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,V_b_p,17.36333813484267,+P,PAV_conc,1.263951631209771,con
z_nb,6.153846153846154e-18,z_pb,1e-18,60,V_c_p,0,+P,RPV_conc,0,con
z_nb,6.153846153846154e-18,z_pb,1e-18,60,R_n_np,4.785049493153775e-7,+N+P,R_n,4.785049493153775e-7,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,R_p_np,8.826453413037646e-8,+N+P,R_p,8.826453413037646e-8,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,Q_n_np,0.0013135440575690353,+N+P,Q_n,0.0013135440575690353,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,Q_p_np,2.450092677636575e-4,+N+P,Q_p,2.450092677636575e-4,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,H_np,1.9971784265003738,+N+P,H,1.9971784265003738,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,60,V_b_np,43577.33646933764,+N+P,PAV_conc,4.639270647755662,con
z_nb,6.153846153846154e-18,z_pb,1e-18,60,V_c_np,0,+N+P,RPV_conc,0,con
z_nb,6.153846153846154e-18,z_pb,1e-18,60,VbH_low,4.8269644479596305,low,PAV_pop,0.765442368338639,pop
z_nb,6.153846153846154e-18,z_pb,1e-18,60,VbH_n,2467.8998774129604,+N,PAV_pop,3.392503478117942,pop
z_nb,6.153846153846154e-18,z_pb,1e-18,60,VbH_p,4.8269644479596305,+P,PAV_pop,0.765442368338639,pop
z_nb,6.153846153846154e-18,z_pb,1e-18,60,VbH_np,87031.71628090911,+N+P,PAV_pop,4.939682538013896,pop
z_nb,6.153846153846154e-18,z_pb,1e-18,60,VcH_low,0,low,RPV_pop,0,pop
z_nb,6.153846153846154e-18,z_pb,1e-18,60,VcH_n,0,+N,RPV_pop,0,pop
z_nb,6.153846153846154e-18,z_pb,1e-18,60,VcH_p,0,+P,RPV_pop,0,pop
z_nb,6.153846153846154e-18,z_pb,1e-18,60,VcH_np,0,+N+P,RPV_pop,0,pop
z_nb,1.0265234075077264e-16,z_pb,1.6681005372000556e-17,60,R_n_low,6.696043012402009e-8,low,R_n,6.696043012402009e-8,NA
z_nb,1.0265234075077264e-16,z_pb,1.6681005372000556e-17,60,R_p_low,1.2340882790224962e-8,low,R_p,1.2340882790224962e-8,NA
z_nb,1.0265234075077264e-16,z_pb,1.6681005372000556e-17,60,Q_n_low,0.0011263467444615535,low,Q_n,0.0011263467444615535,NA
z_nb,1.0265234075077264e-16,z_pb,1.6681005372000556e-17,60,Q_p_low,2.654474215045185e-4,low,Q_p,2.654474215045185e-4,NA
z_nb,1.0265234075077264e-16,z_pb,1.6681005372000556e-17,60,H_low,0.27799743151532363,low,H,0.27799743151532363,NA
z_nb,1.0265234075077264e-16,z_pb,1.6681005372000556e-17,60,V_b_low,17.363323157530118,low,PAV_conc,1.2639512769949326,con
z_nb,1.0265234075077264e-16,z_pb,1.6681005372000556e-17,60,V_c_low,0,low,RPV_conc,0,con
z_nb,1.0265234075077264e-16,z_pb,1.6681005372000556e-17,60,R_n_n,9.882590147337341e-7,+N,R_n,9.882590147337341e-7,NA
z_nb,1.0265234075077264e-16,z_pb,1.6681005372000556e-17,60,R_p_n,3.5105997033017698e-9,+N,R_p,3.5105997033017698e-9,NA
