param_foc1,param_val1,param_foc2,param_val2,param_foc3,param_val3,param_foc4,param_val4,variable2,nutrient,first,last,growth
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1e-6,q_pc,1e-6,RPV_conc,low,500000,509606.0751851515,0.6279875990067155
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1e-6,q_pc,1e-6,RPV_conc,+N,500000,508835.12689691107,0.5780263477936287
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1e-6,q_pc,1e-6,RPV_conc,+P,500000,509632.77904855757,0.6297167864075727
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1e-6,q_pc,1e-6,RPV_conc,+N+P,500000,508872.5199318864,0.5804513470723288
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1e-6,q_pc,1e-6,PAV_conc,low,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1e-6,q_pc,1e-6,PAV_conc,+N,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1e-6,q_pc,1e-6,PAV_conc,+P,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1e-6,q_pc,1e-6,PAV_conc,+N+P,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,5e-6,q_pc,1e-6,RPV_conc,low,500000,509596.1894931943,0.6273474359185792
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,5e-6,q_pc,1e-6,RPV_conc,+N,500000,508835.1281674943,0.5780264301960549
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,5e-6,q_pc,1e-6,RPV_conc,+P,500000,509596.1894931943,0.6273474359185792
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,5e-6,q_pc,1e-6,RPV_conc,+N+P,500000,508866.7775745478,0.5800789574188268
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,5e-6,q_pc,1e-6,PAV_conc,low,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,5e-6,q_pc,1e-6,PAV_conc,+N,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,5e-6,q_pc,1e-6,PAV_conc,+P,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,5e-6,q_pc,1e-6,PAV_conc,+N+P,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1e-5,q_pc,1e-6,RPV_conc,low,500000,509545.7495965241,0.6240809299930902
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1e-5,q_pc,1e-6,RPV_conc,+N,500000,508835.12993668125,0.5780265449349253
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1e-5,q_pc,1e-6,RPV_conc,+P,500000,509545.7495965241,0.6240809299930902
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1e-5,q_pc,1e-6,RPV_conc,+N+P,500000,508841.91689356643,0.5784667033877691
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1e-5,q_pc,1e-6,PAV_conc,low,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1e-5,q_pc,1e-6,PAV_conc,+N,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1e-5,q_pc,1e-6,PAV_conc,+P,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,1e-5,q_pc,1e-6,PAV_conc,+N+P,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,2.5e-5,q_pc,1e-6,RPV_conc,low,500000,509394.4600452452,0.6142814242288632
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,2.5e-5,q_pc,1e-6,RPV_conc,+N,500000,508767.3423354007,0.5736299541118451
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,2.5e-5,q_pc,1e-6,RPV_conc,+P,500000,509394.4600452452,0.6142814242288632
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,2.5e-5,q_pc,1e-6,RPV_conc,+N+P,500000,508767.3423354007,0.5736299541118451
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,2.5e-5,q_pc,1e-6,PAV_conc,low,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,2.5e-5,q_pc,1e-6,PAV_conc,+N,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,2.5e-5,q_pc,1e-6,PAV_conc,+P,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,2.5e-5,q_pc,1e-6,PAV_conc,+N+P,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,5e-5,q_pc,1e-6,RPV_conc,low,500000,509142.41126655095,0.597948957332541
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,5e-5,q_pc,1e-6,RPV_conc,+N,500000,508643.076434597,0.5655687534965252
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,5e-5,q_pc,1e-6,RPV_conc,+P,500000,509142.41126655095,0.597948957332541
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,5e-5,q_pc,1e-6,RPV_conc,+N+P,500000,508643.076434597,0.5655687534965252
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,5e-5,q_pc,1e-6,PAV_conc,low,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,5e-5,q_pc,1e-6,PAV_conc,+N,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,5e-5,q_pc,1e-6,PAV_conc,+P,500000,510526.61629423185,0.17188607304194867
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,5e-5,q_pc,1e-6,PAV_conc,+N+P,500000,511344.1599584699,0.1850868354587804
z_nb,1.6e-18,z_pb,2.6e-19,q_nc,7.4e-5,q_pc,1e-6,RPV_conc,low,500000,508900.56261736195,0.5822698440178528
