plant_days,res_days,inv_days,variable2,nutrient,first,last,growth
1,1,1,PAV_conc,low,0,0,NA
1,1,1,PAV_conc,+N,0,0,NA
1,1,1,PAV_conc,+P,0,0,NA
1,1,1,PAV_conc,+N+P,0,0,NA
1,1,1,RPV_conc,low,500000,501722.37466699455,0.3404441477616837
1,1,1,RPV_conc,+N,500000,501723.06768199836,0.34058089358259913
1,1,1,RPV_conc,+P,500000,501722.37466699455,0.3404441477616837
1,1,1,RPV_conc,+N+P,500000,501723.06768199836,0.34058089358259913
2,1,1,PAV_conc,low,0,0,NA
2,1,1,PAV_conc,+N,0,0,NA
2,1,1,PAV_conc,+P,0,0,NA
2,1,1,PAV_conc,+N+P,0,0,NA
2,1,1,RPV_conc,low,500000,501770.45111306384,0.34993015113356885
2,1,1,RPV_conc,+N,500000,501772.4942749468,0.35033326896195527
2,1,1,RPV_conc,+P,500000,501770.45111306384,0.34993015113356885
2,1,1,RPV_conc,+N+P,500000,501772.4942749468,0.35033326896195527
3,1,1,PAV_conc,low,0,0,NA
3,1,1,PAV_conc,+N,0,0,NA
3,1,1,PAV_conc,+P,0,0,NA
3,1,1,PAV_conc,+N+P,0,0,NA
3,1,1,RPV_conc,low,500000,501797.6912826004,0.355304528160618
3,1,1,RPV_conc,+N,500000,501801.36639245675,0.3560295903714592
3,1,1,RPV_conc,+P,500000,501797.6912826004,0.355304528160618
3,1,1,RPV_conc,+N+P,500000,501801.36639245675,0.3560295903714592
4,1,1,PAV_conc,low,0,0,NA
4,1,1,PAV_conc,+N,0,0,NA
4,1,1,PAV_conc,+P,0,0,NA
4,1,1,PAV_conc,+N+P,0,0,NA
4,1,1,RPV_conc,low,500000,501813.2200418764,0.35836815999461574
4,1,1,RPV_conc,+N,500000,501818.7832833058,0.3594656955448837
4,1,1,RPV_conc,+P,500000,501813.2200418764,0.35836815999461574
4,1,1,RPV_conc,+N+P,500000,501818.7832833058,0.3594656955448837
5,1,1,PAV_conc,low,0,0,NA
5,1,1,PAV_conc,+N,0,0,NA
5,1,1,PAV_conc,+P,0,0,NA
5,1,1,PAV_conc,+N+P,0,0,NA
5,1,1,RPV_conc,low,500000,501821.6573412541,0.36003269489119405
5,1,1,RPV_conc,+N,500000,501829.47801712126,0.3615755555199228
5,1,1,RPV_conc,+P,500000,501821.6573412541,0.36003269489119405
5,1,1,RPV_conc,+N+P,500000,501829.47801712126,0.3615755555199228
6,1,1,PAV_conc,low,0,0,NA
6,1,1,PAV_conc,+N,0,0,NA
