param_foc1,param_val1,param_foc2,param_val2,variable2,nutrient,first,last,growth
q_nc,1e-6,q_pc,1e-6,PAV_conc,low,0,0,NA
q_nc,1e-6,q_pc,1e-6,PAV_conc,+N,0,0,NA
q_nc,1e-6,q_pc,1e-6,PAV_conc,+P,0,0,NA
q_nc,1e-6,q_pc,1e-6,PAV_conc,+N+P,0,0,NA
q_nc,1e-6,q_pc,1e-6,RPV_conc,low,500000,535305.1587518111,0.5628882274410693
q_nc,1e-6,q_pc,1e-6,RPV_conc,+N,500000,535089.8891756398,0.5595698749677536
q_nc,1e-6,q_pc,1e-6,RPV_conc,+P,500000,535327.6279293819,0.5632345099709749
q_nc,1e-6,q_pc,1e-6,RPV_conc,+N+P,500000,535112.4992310822,0.5599184687654275
q_nc,5e-6,q_pc,1e-6,PAV_conc,low,0,0,NA
q_nc,5e-6,q_pc,1e-6,PAV_conc,+N,0,0,NA
q_nc,5e-6,q_pc,1e-6,PAV_conc,+P,0,0,NA
q_nc,5e-6,q_pc,1e-6,PAV_conc,+N+P,0,0,NA
q_nc,5e-6,q_pc,1e-6,RPV_conc,low,500000,535290.6715083511,0.5626649503552169
q_nc,5e-6,q_pc,1e-6,RPV_conc,+N,500000,535082.9795758952,0.5594633422765256
q_nc,5e-6,q_pc,1e-6,RPV_conc,+P,500000,535290.6715083511,0.5626649503552169
q_nc,5e-6,q_pc,1e-6,RPV_conc,+N+P,500000,535082.9795758952,0.5594633422765256
q_nc,1e-5,q_pc,1e-6,PAV_conc,low,0,0,NA
q_nc,1e-5,q_pc,1e-6,PAV_conc,+N,0,0,NA
q_nc,1e-5,q_pc,1e-6,PAV_conc,+P,0,0,NA
q_nc,1e-5,q_pc,1e-6,PAV_conc,+N+P,0,0,NA
q_nc,1e-5,q_pc,1e-6,RPV_conc,low,500000,535225.5989494168,0.5616619789353814
q_nc,1e-5,q_pc,1e-6,RPV_conc,+N,500000,535025.1984445957,0.558572414903994
q_nc,1e-5,q_pc,1e-6,RPV_conc,+P,500000,535225.5989494168,0.5616619789353814
q_nc,1e-5,q_pc,1e-6,RPV_conc,+N+P,500000,535025.1984445957,0.558572414903994
q_nc,2.5e-5,q_pc,1e-6,PAV_conc,low,0,0,NA
q_nc,2.5e-5,q_pc,1e-6,PAV_conc,+N,0,0,NA
q_nc,2.5e-5,q_pc,1e-6,PAV_conc,+P,0,0,NA
q_nc,2.5e-5,q_pc,1e-6,PAV_conc,+N+P,0,0,NA
q_nc,2.5e-5,q_pc,1e-6,RPV_conc,low,500000,535030.4287151217,0.558653064415561
