param_foc1,param_val1,param_foc2,param_val2,variable2,nutrient,first,last,growth
z_nc,1.7e-18,z_pc,2.6e-19,PAV_conc,low,0,0,NA
z_nc,1.7e-18,z_pc,2.6e-19,PAV_conc,+N,0,0,NA
z_nc,1.7e-18,z_pc,2.6e-19,PAV_conc,+P,0,0,NA
z_nc,1.7e-18,z_pc,2.6e-19,PAV_conc,+N+P,0,0,NA
z_nc,1.7e-18,z_pc,2.6e-19,RPV_conc,low,500000,516950.32374061964,0.27504415835847973
z_nc,1.7e-18,z_pc,2.6e-19,RPV_conc,+N,500000,517153.2417652743,0.27828188769377804
z_nc,1.7e-18,z_pc,2.6e-19,RPV_conc,+P,500000,516950.32374061964,0.27504415835847973
z_nc,1.7e-18,z_pc,2.6e-19,RPV_conc,+N+P,500000,517153.2417652743,0.27828188769377804
z_nc,6.538461538461539e-18,z_pc,1e-18,PAV_conc,low,0,0,NA
z_nc,6.538461538461539e-18,z_pc,1e-18,PAV_conc,+N,0,0,NA
z_nc,6.538461538461539e-18,z_pc,1e-18,PAV_conc,+P,0,0,NA
z_nc,6.538461538461539e-18,z_pc,1e-18,PAV_conc,+N+P,0,0,NA
z_nc,6.538461538461539e-18,z_pc,1e-18,RPV_conc,low,500000,516950.3237408117,0.2750441583615449
z_nc,6.538461538461539e-18,z_pc,1e-18,RPV_conc,+N,500000,517153.2417655049,0.2782818876974566
z_nc,6.538461538461539e-18,z_pc,1e-18,RPV_conc,+P,500000,516950.3237408117,0.2750441583615449
z_nc,6.538461538461539e-18,z_pc,1e-18,RPV_conc,+N+P,500000,517153.2417655049,0.2782818876974566
z_nc,1.096390766376425e-17,z_pc,1.6768329368110032e-18,PAV_conc,low,0,0,NA
z_nc,1.096390766376425e-17,z_pc,1.6768329368110032e-18,PAV_conc,+N,0,0,NA
z_nc,1.096390766376425e-17,z_pc,1.6768329368110032e-18,PAV_conc,+P,0,0,NA
z_nc,1.096390766376425e-17,z_pc,1.6768329368110032e-18,PAV_conc,+N+P,0,0,NA
z_nc,1.096390766376425e-17,z_pc,1.6768329368110032e-18,RPV_conc,low,500000,516950.32374080736,0.2750441583614758
z_nc,1.096390766376425e-17,z_pc,1.6768329368110032e-18,RPV_conc,+N,500000,517153.24176550255,0.27828188769741946
z_nc,1.096390766376425e-17,z_pc,1.6768329368110032e-18,RPV_conc,+P,500000,516950.32374080736,0.2750441583614758
z_nc,1.096390766376425e-17,z_pc,1.6768329368110032e-18,RPV_conc,+N+P,500000,517153.24176550255,0.27828188769741946
z_nc,1.8384641486754625e-17,z_pc,2.8117686979742367e-18,PAV_conc,low,0,0,NA
z_nc,1.8384641486754625e-17,z_pc,2.8117686979742367e-18,PAV_conc,+N,0,0,NA
z_nc,1.8384641486754625e-17,z_pc,2.8117686979742367e-18,PAV_conc,+P,0,0,NA
z_nc,1.8384641486754625e-17,z_pc,2.8117686979742367e-18,PAV_conc,+N+P,0,0,NA
z_nc,1.8384641486754625e-17,z_pc,2.8117686979742367e-18,RPV_conc,low,500000,516950.3237406007,0.2750441583581767
z_nc,1.8384641486754625e-17,z_pc,2.8117686979742367e-18,RPV_conc,+N,500000,517153.24176526314,0.27828188769359913
z_nc,1.8384641486754625e-17,z_pc,2.8117686979742367e-18,RPV_conc,+P,500000,516950.3237406007,0.2750441583581767
z_nc,1.8384641486754625e-17,z_pc,2.8117686979742367e-18,RPV_conc,+N+P,500000,517153.24176526314,0.27828188769359913
z_nc,3.082797237645216e-17,z_pc,4.71486636345739e-18,PAV_conc,low,0,0,NA
z_nc,3.082797237645216e-17,z_pc,4.71486636345739e-18,PAV_conc,+N,0,0,NA
z_nc,3.082797237645216e-17,z_pc,4.71486636345739e-18,PAV_conc,+P,0,0,NA
z_nc,3.082797237645216e-17,z_pc,4.71486636345739e-18,PAV_conc,+N+P,0,0,NA
z_nc,3.082797237645216e-17,z_pc,4.71486636345739e-18,RPV_conc,low,500000,516950.323741279,0.2750441583690024
z_nc,3.082797237645216e-17,z_pc,4.71486636345739e-18,RPV_conc,+N,500000,517153.2417660742,0.27828188770653883
z_nc,3.082797237645216e-17,z_pc,4.71486636345739e-18,RPV_conc,+P,500000,516950.323741279,0.2750441583690024
z_nc,3.082797237645216e-17,z_pc,4.71486636345739e-18,RPV_conc,+N+P,500000,517153.2417660742,0.27828188770653883
z_nc,5.169335945593476e-17,z_pc,7.90604321090767e-18,PAV_conc,low,0,0,NA
z_nc,5.169335945593476e-17,z_pc,7.90604321090767e-18,PAV_conc,+N,0,0,NA
z_nc,5.169335945593476e-17,z_pc,7.90604321090767e-18,PAV_conc,+P,0,0,NA
z_nc,5.169335945593476e-17,z_pc,7.90604321090767e-18,PAV_conc,+N+P,0,0,NA
z_nc,5.169335945593476e-17,z_pc,7.90604321090767e-18,RPV_conc,low,500000,516950.3237410576,0.2750441583654694
z_nc,5.169335945593476e-17,z_pc,7.90604321090767e-18,RPV_conc,+N,500000,517153.2417658258,0.2782818877025751
z_nc,5.169335945593476e-17,z_pc,7.90604321090767e-18,RPV_conc,+P,500000,516950.3237410576,0.2750441583654694
z_nc,5.169335945593476e-17,z_pc,7.90604321090767e-18,RPV_conc,+N+P,500000,517153.2417658258,0.2782818877025751
z_nc,8.668112775012263e-17,z_pc,1.3257113655901108e-17,PAV_conc,low,0,0,NA
z_nc,8.668112775012263e-17,z_pc,1.3257113655901108e-17,PAV_conc,+N,0,0,NA
z_nc,8.668112775012263e-17,z_pc,1.3257113655901108e-17,PAV_conc,+P,0,0,NA
