time,variable,value,nutrient,variable2,lim_nut_H
0,R_n_low,5.6e-4,low,R_n,Q[N]
0,R_p_low,8.199999999999999e-5,low,R_p,Q[N]
0,Q_n_low,0.0055000000000000005,low,Q_n,Q[N]
0,Q_p_low,3.7e-4,low,Q_p,Q[N]
0,H_low,0.01,low,H,Q[N]
0,V_b_low,0,low,PAV_conc,Q[N]
0,V_c_low,0,low,RPV_conc,Q[N]
0,R_n_n,5.6e-4,+N,R_n,Q[N]
0,R_p_n,8.199999999999999e-5,+N,R_p,Q[N]
0,Q_n_n,0.0055000000000000005,+N,Q_n,Q[N]
0,Q_p_n,3.7e-4,+N,Q_p,Q[N]
0,H_n,0.01,+N,H,Q[N]
0,V_b_n,0,+N,PAV_conc,Q[N]
0,V_c_n,0,+N,RPV_conc,Q[N]
0,R_n_p,5.6e-4,+P,R_n,Q[N]
0,R_p_p,8.199999999999999e-5,+P,R_p,Q[N]
0,Q_n_p,0.0055000000000000005,+P,Q_n,Q[N]
0,Q_p_p,3.7e-4,+P,Q_p,Q[N]
0,H_p,0.01,+P,H,Q[N]
0,V_b_p,0,+P,PAV_conc,Q[N]
0,V_c_p,0,+P,RPV_conc,Q[N]
0,R_n_np,5.6e-4,+N+P,R_n,Q[N]
0,R_p_np,8.199999999999999e-5,+N+P,R_p,Q[N]
0,Q_n_np,0.0055000000000000005,+N+P,Q_n,Q[N]
0,Q_p_np,3.7e-4,+N+P,Q_p,Q[N]
0,H_np,0.01,+N+P,H,Q[N]
0,V_b_np,0,+N+P,PAV_conc,Q[N]
0,V_c_np,0,+N+P,RPV_conc,Q[N]
0,VbH_low,0,low,PAV_pop,Q[N]
0,VbH_n,0,+N,PAV_pop,Q[N]
0,VbH_p,0,+P,PAV_pop,Q[N]
0,VbH_np,0,+N+P,PAV_pop,Q[N]
0,VcH_low,0,low,RPV_pop,Q[N]
0,VcH_n,0,+N,RPV_pop,Q[N]
0,VcH_p,0,+P,RPV_pop,Q[N]
0,VcH_np,0,+N+P,RPV_pop,Q[N]
0,LimQ_low,0.19999999999999998,low,Qlim,Q[N]
0,LimQ_n,0.19999999999999998,+N,Qlim,Q[N]
0,LimQ_p,0.19999999999999998,+P,Qlim,Q[N]
0,LimQ_np,0.19999999999999998,+N+P,Qlim,Q[N]
0.1111111111111111,R_n_low,5.571382583151502e-4,low,R_n,Q[N]
0.1111111111111111,R_p_low,8.087272707481288e-5,low,R_p,Q[N]
0.1111111111111111,Q_n_low,0.005567856661365002,low,Q_n,Q[N]
0.1111111111111111,Q_p_low,4.7353641002035636e-4,low,Q_p,Q[N]
0.1111111111111111,H_low,0.0101459476795492,low,H,Q[N]
0.1111111111111111,V_b_low,0,low,PAV_conc,Q[N]
0.1111111111111111,V_c_low,0,low,RPV_conc,Q[N]
0.1111111111111111,R_n_n,5.632369419674823e-4,+N,R_n,Q[N]
0.1111111111111111,R_p_n,8.087272706259808e-5,+N,R_p,Q[N]
0.1111111111111111,Q_n_n,0.005567919649066303,+N,Q_n,Q[N]
0.1111111111111111,Q_p_n,4.7353640051568544e-4,+N,Q_p,Q[N]
0.1111111111111111,H_n,0.010145947887480255,+N,H,Q[N]
0.1111111111111111,V_b_n,0,+N,PAV_conc,Q[N]
0.1111111111111111,V_c_n,0,+N,RPV_conc,Q[N]
0.1111111111111111,R_n_p,5.571382583151502e-4,+P,R_n,Q[N]
0.1111111111111111,R_p_p,8.176435696688098e-5,+P,R_p,Q[N]
0.1111111111111111,Q_n_p,0.005567856661365002,+P,Q_n,Q[N]
0.1111111111111111,Q_p_p,4.736954712919043e-4,+P,Q_p,Q[N]
0.1111111111111111,H_p,0.0101459476795492,+P,H,Q[N]
0.1111111111111111,V_b_p,0,+P,PAV_conc,Q[N]
0.1111111111111111,V_c_p,0,+P,RPV_conc,Q[N]
